a	aː
aen	aːən
aacht	aːχt
aachten	aːχtən
aachtafofzeg	aːʁdɑfoftsəɕ
aachtafofzegst	aːʁdɑfoftsəɕst
aachtanachzeg	aːχtɑnɑχtsəɕ
aachtanachzegst	aːχtɑnɑχtsəɕst
aachtandrësseg	aːχtɑndʀəsəɕ
aachtandrëssegst	aːχtɑndʀəsəɕst
aachtannonzeg	aːχtɑnnontsəɕ
aachtannonzegst	aːχtɑnnontsəɕst
aachtanuechzeg	aːχtɑnuəɕtsəɕ
aachtanuechzegst	aːχtɑnuəɕtsəɕst
aachtanzwanzeg	aːχtɑntswɑntsəɕ
aachtanzwanzegst	aːχtɑntswɑntsəɕst
aachtasechzeg	aːχtɑzæɕtsəɕ
aachtasechzegst	aːχtɑzæɕtsəɕst
aachtasiechzeg	aːχtɑziəɕtsəɕ
aachtasiechzegst	aːχtɑziəɕtsəɕst
aachtasiwwenzeg	aːχtɑzivəntsəɕ
aachtasiwwenzegst	aːχtɑzivəntsəɕst
aachtavéierzeg	aːχtɑfɜɪɐtsəɕ
aachtavéierzegst	aːχtɑfɜɪɐtsəɕst
aachtchen	aːχtɕən
aachtercher	aːχtɐɕɐ
aachtel	aːχtəl
aachtfach	aːχtfɑχ
aachtmol	aːχtmoːl
aangel	aːŋəl
aangelen	aːŋələn
aangelsbierg	aːŋəlsbiːɐɕ
aansebuerg	aːnzəbuːɐɕ
aarbecht	aːɐbəɕt
aarbechten	aːɐbəɕtən
aarbechter	aːɐbəɕtɐ
aarbechterfamill	aːɐbəɕtɐfɑmil
aarbechterfamillen	aːɐbəɕtɐfɑmilən
aarbechterin	aːɐbəɕtəʀin
aarbechterinnen	aːɐbəɕtəʀinən
aarbechterklass	aːɐbəɕtɐklɑs
aarbechtsaccident	aːɐbəɕtsɑksidænt
aarbechtsaccidenter	aːɐbəɕtsɑksidæntɐ
aarbechtsamt	aːɐbəɕtsaːmt
aarbechtsämter	aːɐbəɕtsɛːmtɐ
aarbechtsbedéngungen	aːɐbəɕtsbədeŋuŋən
aarbechtsbedingungen	aːɐbəɕtsbədiŋguŋən
aarbechtsdag	aːɐbəɕtsdaːχ
aarbechtsdeeg	aːɐbəɕtsdeːɕ
aarbechtsdokter	aːɐbəɕtsdoktɐ
aarbechtsdokteren	aːɐbəɕtsdoktəʀən
aarbechtsdoktesch	aːɐbəɕtsdoktəʃ
aarbechtsdokteschen	aːɐbəɕtsdoktəʃən
aarbechtserlaabnes	aːɐbəɕtsɐlaːbnəs
aarbechtserlaabnesser	aːɐbəɕtsɐlaːbnəsɐ
aarbechtserlaabnis	aːɐbəɕtsɐlaːbnis
aarbechtserlaabnisser	aːɐbəɕtsɐlaːbnisɐ
aarbechtsfäeg	aːɐbəɕtsfɛːəɕ
aarbechtsfäheg	aːɐbəɕtsfɛːəɕ
aarbechtsgesetz	aːɐbəɕtsgəzæts
aarbechtsgezei	aːɐbəɕtsgətsɑɪ
aarbechtsgrupp	aːɐbəɕtsgʀup
aarbechtsgruppen	aːɐbəɕtsgʀupən
aarbechtskleedung	aːɐbəɕtskleːduŋ
aarbechtsklima	aːɐbəɕtskliːmaː
aarbechtskolleeg	aːɐbəɕtskoleːɕ
aarbechtskolleegen	aːɐbəɕtskoleːʑən
aarbechtskolleegin	aːɐbəɕtskoleːʑin
aarbechtskolleeginnen	aːɐbəɕtskoleːʑinən
aarbechtskolleg	aːɐbəɕtskoleːɕ
aarbechtskollegen	aːɐbəɕtskoleːʑən
aarbechtskollegin	aːɐbəɕtskoleːʑin
aarbechtskolleginnen	aːɐbəɕtskoleːʑinən
aarbechtskonditiounen	aːɐbəɕtskonditsjəʊnən
aarbechtskontrakt	aːɐbəɕtskontʀɑkt
aarbechtskontrakten	aːɐbəɕtskontʀɑktən
aarbechtslos	aːɐbəɕtsloːs
aarbechtslosegkeet	aːɐbəɕtsloːzəɕkeːt
aarbechtslosenzuel	aːɐbəɕtsloːsəntsuəl
aarbechtslosenzuelen	aːɐbəɕtsloːsəntsuələn
aarbechtsmaart	aːɐbəɕtsmaːʀt
aarbechtsmäert	aːɐbəɕtsmɛːɐt
aarbechtspensum	aːɐbəɕtspænzum
aarbechtsplaz	aːɐbəɕtsplaːts
aarbechtsplazen	aːɐbəɕtsplaːtsən
aarbechtsprozess	aːɐbəɕtspʀotsæs
aarbechtsprozesser	aːɐbəɕtspʀotsæsɐ
aarbechtsrecht	aːɐbəɕtsʀæɕt
aarbechtsrechter	aːɐbəɕtsʀæɕtɐ
aarbechtsrhythmus	aːɐbəɕtsʀitmus
aarbechtsrhythmen	aːɐbəɕtsʀitmən
aarbechtssëtzung	aːɐbəɕtsətsuŋ
aarbechtssëtzungen	aːɐbəɕtsətsuŋən
aarbechtssituatioun	aːɐbəɕtsitwatsjəʊn
aarbechtssituatiounen	aːɐbəɕtsitwatsjəʊnən
aarbechtssitzung	aːɐbəɕtsitsuŋ
aarbechtssitzungen	aːɐbəɕtsitsuŋən
aarbechtsvertrag	aːɐbəɕtsfɐtʀaːχ
aarbechtsverträg	aːɐbəɕtsfɐtʀæɕ
aarbechtszäit	aːɐbəɕtstsæːɪt
aarbechtszäiten	aːɐbəɕtstsæːɪtən
aarbel	aːɐbəl
aarbelen	aːɐbələn
aarm	aːɐm
äerm	ɛːɐm
aarmebureau	aːɐmeːbyʀoː
aarmebureauen	aːɐmeːbyʀoːən
aarmebüro	aːʀməbyʀoː
aarmebüroen	aːʀməbyʀoːən
aarmeleitskascht	aːʀməlɑɪtskɑʃt
aarmséileg	aːɐmsɜɪləɕ
aarmséilegkeet	aːɐmsɜɪləɕkeːt
aarmut	aːɐmut
aart	aːʀt
aarten	aːʀtən
aartlech	aːʀtləɕ
aasch	aːʃ
eesch	eːʃ
aaschbak	aːʃbaːk
aaschbaken	aːʃbaːkən
aaschkrécher	aːʃkʀəɕɐ
aaschkréchesch	aːʃkʀəɕəʃ
aaschkrécheschen	aːʃkʀəɕəʃən
aaschlach	aːʃlɑχ
aaschlächer	aːʃlæɕɐ
aascht	aːʃt
äscht	æʃt
aassel	aːsəl
aasselbur	aːsəlbuːʀ
aasselscheier	aːsəlʃɑɪɐ
aaxt	aːkst
aaxten	aːkstən
ab	ɑp
aband	ɑbɑnt
abänn	ɑbæn
abannen	ɑbɑnən
agebonnen	ɑgəbonən
abattement	ɑbɑtəmɑ̃ː
abattementen	ɑbɑtəmɑ̃ːən
abauen	ɑbɑʊən
agebaut	ɑgəbæːʊt
abbé	ɑbeː
abbéen	ɑbeːən
abberdéngeg	ɑbɐdeŋəɕ
abberzuel	ɑbɐtsuəl
abeezen	ɑbeːtsən
agebeezt	ɑgəbeːtst
abegraff	ɑbəgʀɑf
abéien	ɑbɜɪən
